height_mm,volume_litres
111.200,34.072650
111.300,34.115622
111.400,34.158599
111.500,34.201580
111.600,34.244566
111.700,34.287556
111.800,34.330552
111.900,34.373551
112.000,34.416556
112.100,34.459565
112.200,34.502578
112.300,34.545596
112.400,34.588618
112.500,34.631645
112.600,34.674676
112.700,34.717711
112.800,34.760751
112.900,34.803794
113.000,34.846843
113.100,34.889895
113.200,34.932952
113.300,34.976012
113.400,35.019077
113.500,35.062146
113.600,35.105219
113.700,35.148296
113.800,35.191377
113.900,35.234462
114.000,35.277551
114.100,35.320644
114.200,35.363741
114.300,35.406842
114.400,35.449946
114.500,35.493055
114.600,35.536167
114.700,35.579282
114.800,35.622402
114.900,35.665525
115.000,35.708652
115.100,35.751782
115.200,35.794916
115.300,35.838054
115.400,35.881195
115.500,35.924339
115.600,35.967488
115.700,36.010639
115.800,36.053794
115.900,36.096952
116.000,36.140114
116.100,36.183279
116.200,36.226447
116.300,36.269618
116.400,36.312793
116.500,36.355971
116.600,36.399152
116.700,36.442336
116.800,36.485524
116.900,36.528714
117.000,36.571907
117.100,36.615104
117.200,36.658303
117.300,36.701506
117.400,36.744711
117.500,36.787919
117.600,36.831130
117.700,36.874344
117.800,36.917561
117.900,36.960780
118.000,37.004003
118.100,37.047228
118.200,37.090455
118.300,37.133686
118.400,37.176919
118.500,37.220154
118.600,37.263392
118.700,37.306633
118.800,37.349876
118.900,37.393122
119.000,37.436370
119.100,37.479621
119.200,37.522874
119.300,37.566129
119.400,37.609387
119.500,37.652647
119.600,37.695909
119.700,37.739173
119.800,37.782440
119.900,37.825709
120.000,37.868980
120.100,37.912253
120.200,37.955529
120.300,37.998806
120.400,38.042085
120.500,38.085367
120.600,38.128650
120.700,38.171935
120.800,38.215223
120.900,38.258512
121.000,38.301803
121.100,38.345096
121.200,38.388390
121.300,38.431687
121.400,38.474985
121.500,38.518285
121.600,38.561587
121.700,38.604890
121.800,38.648195
121.900,38.691501
122.000,38.734809
122.100,38.778119
122.200,38.821430
122.300,38.864743
122.400,38.908057
122.500,38.951372
122.600,38.994689
122.700,39.038007
122.800,39.081327
122.900,39.124648
123.000,39.167970
123.100,39.211293
123.200,39.254618
123.300,39.297944
123.400,39.341271
123.500,39.384599
123.600,39.427928
123.700,39.471259
123.800,39.514590
123.900,39.557922
124.000,39.601256
124.100,39.644590
124.200,39.687925
124.300,39.731261
124.400,39.774598
124.500,39.817936
124.600,39.861275
124.700,39.904614
124.800,39.947954
124.900,39.991295
125.000,40.034637
125.100,40.077979
125.200,40.121322
125.300,40.164665
125.400,40.208010
125.500,40.251354
125.600,40.294699
125.700,40.338045
125.800,40.381391
125.900,40.424738
